1.000000000000000000e+00,1.646823346808288721e-02,1.930410899261362015e-02,3.822082104710731315e-02,9.811216195314337307e-02,6.185004897506302807e-02,9.428279223379820717e-02,4.441897220848053940e-02,3.176502600448936897e-02,6.476460486771977443e-02,3.633794161576121839e-02
1.646823346808288721e-02,1.000000000000000000e+00,8.778396360920632732e-03,1.076014281077572118e-02,5.273051387436464982e-02,4.823739608178780752e-02,2.713134297591644761e-02,1.822934269724569081e-02,4.674434069100595612e-02,1.989477268084526712e-02,1.269919693449105338e-02
1.930410899261362015e-02,8.778396360920632732e-03,1.000000000000000000e+00,1.380354484999931838e-02,3.380400420908234033e-02,3.452586997773575417e-02,3.363269166863437631e-02,5.882463017779417797e-02,2.907927263515954971e-02,3.006426612030980300e-02,4.857239644504064702e-02
3.822082104710731315e-02,1.076014281077572118e-02,1.380354484999931838e-02,1.000000000000000000e+00,7.165627711056062055e-02,8.216111218699201357e-02,3.872974234403669946e-02,1.980983064177957442e-02,4.104333278288909564e-02,2.739482706315086308e-02,1.788441457093728135e-02
9.811216195314337307e-02,5.273051387436464982e-02,3.380400420908234033e-02,7.165627711056062055e-02,1.000000000000000000e+00,9.765093039045275036e-02,1.067305619054168264e-01,5.022369358077954926e-02,4.679202992517364490e-02,5.691564841226758042e-02,5.952294188518175017e-02
6.185004897506302807e-02,4.823739608178780752e-02,3.452586997773575417e-02,8.216111218699201357e-02,9.765093039045275036e-02,1.000000000000000000e+00,7.599041841801182362e-02,2.388978566751043253e-02,2.034833043428845301e-01,2.847746969872136380e-02,4.967344829899031367e-02
9.428279223379820717e-02,2.713134297591644761e-02,3.363269166863437631e-02,3.872974234403669946e-02,1.067305619054168264e-01,7.599041841801182362e-02,1.000000000000000000e+00,7.880552028334435188e-02,1.764380036191208478e-02,7.350249493573446369e-02,6.198025653533627277e-02
4.441897220848053940e-02,1.822934269724569081e-02,5.882463017779417797e-02,1.980983064177957442e-02,5.022369358077954926e-02,2.388978566751043253e-02,7.880552028334435188e-02,1.000000000000000000e+00,8.277171719225137614e-03,2.821398339597480653e-02,9.158320651775381238e-02
3.176502600448936897e-02,4.674434069100595612e-02,2.907927263515954971e-02,4.104333278288909564e-02,4.679202992517364490e-02,2.034833043428845301e-01,1.764380036191208478e-02,8.277171719225137614e-03,1.000000000000000000e+00,9.469521793199788678e-03,1.074935678592617988e-02
6.476460486771977443e-02,1.989477268084526712e-02,3.006426612030980300e-02,2.739482706315086308e-02,5.691564841226758042e-02,2.847746969872136380e-02,7.350249493573446369e-02,2.821398339597480653e-02,9.469521793199788678e-03,1.000000000000000000e+00,3.461066641772385377e-02
3.633794161576121839e-02,1.269919693449105338e-02,4.857239644504064702e-02,1.788441457093728135e-02,5.952294188518175017e-02,4.967344829899031367e-02,6.198025653533627277e-02,9.158320651775381238e-02,1.074935678592617988e-02,3.461066641772385377e-02,1.000000000000000000e+00
